Item;Quantity;Total Price (CZK) (with shipping);Total Price (USD) (with shipping);Link
Raspberry PI 5 4GB;1;1648;78,32;https://rpishop.cz/raspberry-pi-5/6497-raspberry-pi-5-4gb-ram.html
SAL 50W subwoofer driver;1;369,14;17,54;https://www.ame.cz/Elektronika/Reproduktory-mikrofony-sluchatka/Reproduktory-znacky-SAL/Stredobasove-reproduktory/Reproduktor-SAL-SBX1010-BK-8ohm-50W-basovy-stredobasovy-d153582
Raspberry Pi Pi-DAC+;1;539;25,58;https://rpishop.cz/zvukove-karty/803-iqaudio-pi-dac.html
Mid range speakers (2 pcs);1;227;10,77;https://www.aliexpress.com/item/1005007256226541.html
Sub+mid AMP;1;183,57;8,72;https://www.aliexpress.com/item/1005007922429735.html
Tweeters (2 pcs);1;163,9;7,78;https://www.aliexpress.com/item/1005007671411735.html
Tweeter AMP;1;112,92;5,36;https://www.aliexpress.com/item/1005007039518679.html
Mini touch sensor;3;192,39;9,17;https://www.aliexpress.com/item/1005008634223216.html
White LED's (100pcs);1;68,49;3,27;https://www.aliexpress.com/item/1005009131564126.html
200W 24V thin power supply;1;137,57;6,56;https://www.aliexpress.com/item/1005007655951765.html
3 types of dupont cables (20pc);1;42,91;2,05;https://www.aliexpress.com/item/1005009366257883.html
Universal PCB Breadboard (5pcs);1;108,05;5,15;https://www.aliexpress.com/item/1005008240247248.html
24V to 5V step down;1;73,23;3,5;https://www.aliexpress.com/item/1005008717423594.html
Speaker wire (3m);1;126,37;6,03;https://www.aliexpress.com/item/32694142009.html
150 Ohm resistors for LED's (100pc);1;40,76;1,94;https://www.aliexpress.com/item/1005006730653425.html
;;;;
;;;;
;;;;
Subtotal:;;4033,3;191,74;
